groupID,pval_fisher_1,pval_fisher_2,joint_pval_edgington,padj_edgington,sig_edgington
ENSG00000211899,4.633770632686632e-6,0.002337088890261218,2.741832510272101e-6,0.0012408100043249267,TRUE
ENSG00000211899,4.633770632686632e-6,0.0022997455579053003,2.6550820448966147e-6,0.0012124257574073042,TRUE
ENSG00000211899,4.5313087176101495e-6,0.002337088890261218,2.7415925781329407e-6,0.0012408100043249267,TRUE
ENSG00000211899,4.5313087176101495e-6,0.0022997455579053003,2.6548459390268046e-6,0.0012124257574073042,TRUE
ENSG00000263163,0.0067986393394073395,0.03786527595663341,9.97432664785951e-4,0.03986928365927417,TRUE
ENSG00000263163,0.0067986393394073395,0.03157766863238844,7.36370506773059e-4,0.03303865102407958,TRUE
ENSG00000263163,0.0067986393394073395,0.03233318517275608,7.656498448253788e-4,0.03402298546476166,TRUE
ENSG00000263163,0.0067845501419519635,0.03786527595663341,9.96803485316957e-4,0.03984959732081408,TRUE
ENSG00000263163,0.0067845501419519635,0.03157766863238844,7.358299146451786e-4,0.03301834117514125,TRUE
ENSG00000263163,0.0067845501419519635,0.03233318517275608,7.6509860807578e-4,0.03400725279642808,TRUE
ENSG00000263163,0.012063695259059766,0.03786527595663341,0.0012464510833287588,0.04513854073101154,TRUE
ENSG00000263163,0.012063695259059766,0.03157766863238844,9.522843211529009e-4,0.03875481831394041,TRUE
ENSG00000263163,0.012063695259059766,0.03233318517275608,9.85541496038478e-4,0.039548320995571214,TRUE
ENSG00000263163,0.00669505451504436,0.03786527595663341,9.928115258725657e-4,0.03974757013242826,TRUE
ENSG00000263163,0.00669505451504436,0.03157766863238844,7.324006685600189e-4,0.03293587663603449,TRUE
ENSG00000263163,0.00669505451504436,0.03233318517275608,7.616017465642007e-4,0.033875105470439,TRUE
ENSG00000263163,0.02098869716336888,0.03157766863238844,0.001381611406486684,0.048051489960598354,TRUE
ENSG00000263163,0.02098869716336888,0.03233318517275608,0.0014216115679337791,0.04890028111048965,TRUE
ENSG00000263163,1.0983429329840689e-4,0.049541227071599074,0.0012326139473304086,0.04490080308582446,TRUE
ENSG00000263163,1.0983429329840689e-4,0.03786527595663341,7.21054499247239e-4,0.032615580840797236,TRUE
ENSG00000263163,1.0983429329840689e-4,0.03157766863238844,5.020489208327078e-4,0.02688908535338135,TRUE
ENSG00000263163,1.0983429329840689e-4,0.03233318517275608,5.26274756037397e-4,0.027473157451517422,TRUE
ENSG00000263163,0.007544803240558619,0.03786527595663341,0.0010310376463476235,0.040564766048757576,TRUE
ENSG00000263163,0.007544803240558619,0.03157766863238844,7.652839027247659e-4,0.03401256676746252,TRUE
ENSG00000263163,0.007544803240558619,0.03233318517275608,7.951269799462302e-4,0.03477433740521055,TRUE
ENSG00000263163,1.037001294557368e-4,0.049541227071599074,0.0012323093983990178,0.04489334941778439,TRUE
ENSG00000263163,1.037001294557368e-4,0.03786527595663341,7.208215725130059e-4,0.032615177006673185,TRUE
ENSG00000263163,1.037001294557368e-4,0.03157766863238844,5.018545633119766e-4,0.02688424191371511,TRUE
ENSG00000263163,1.037001294557368e-4,0.03233318517275608,5.260757640544212e-4,0.027473157451517422,TRUE
ENSG00000274891,0.02863117347089927,0.014458957508198837,9.283796938979143e-4,0.03829910585181493,TRUE
ENSG00000278759,0.029570483806764525,0.016962014287738914,0.0010826366894574834,0.04185867302228495,TRUE
ENSG00000278759,4.0039731556341945e-4,0.016962014287738914,1.5072666834124352e-4,0.013819335723265559,TRUE
