pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes
GOBP_VESICLE_MEDIATED_TRANSPORT,1.6600049806892776e-51,9.979949943903936e-48,1.4855036407341737,288,293,
GOBP_CYTOSKELETON_ORGANIZATION,3.690021349676861e-29,1.1092204177128644e-25,1.4528861510381017,199,207,
GOBP_BIOLOGICAL_ADHESION,2.2272917184108202e-28,4.4634926036952835e-25,1.4517352646645292,195,203,
GOBP_LOCOMOTION,3.344610459215794e-27,5.026949520201338e-24,1.4239744467259867,212,225,
GOBP_CELL_PROJECTION_ORGANIZATION,1.8991425458681735e-26,2.2835289971518918e-23,1.4486493387664776,185,193,
GOBP_REGULATION_OF_TRANSPORT,1.9157995822182875e-25,1.827577458561234e-22,1.4109865348621686,211,226,
GOBP_CELL_MIGRATION,2.127917865922927e-25,1.827577458561234e-22,1.435349230753356,189,199,
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,2.919774774250656e-25,2.194210742849368e-22,1.4907318163404994,145,147,
GOBP_ENDOCYTOSIS,6.608709703144466e-25,4.414618081700503e-22,1.5002622940991321,136,137,
GOBP_TISSUE_DEVELOPMENT,1.666619937315978e-23,1.0019719063143661e-20,1.4154555015776031,192,205,
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION,1.400783820895782e-20,7.655920301114037e-18,1.4981519507186858,114,115,
GOBP_PHOSPHORYLATION,1.762866912919419e-20,8.598766384176716e-18,1.3714823291029317,206,227,
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS,1.859347355194566e-20,8.598766384176716e-18,1.392176894832138,187,203,
GOBP_CELL_MORPHOGENESIS,6.901989799773057e-20,2.963911619731116e-17,1.4491856769148548,140,146,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,9.362234493162248e-20,3.752383584859429e-17,1.4342850416563124,149,157,
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,1.4580604590164975e-19,5.478662174754489e-17,1.3028393400835516,275,319,
GOBP_INTRACELLULAR_TRANSPORT,2.899443354537261e-19,9.383855129575481e-17,1.2994300408758561,276,321,
GOBP_NEUROGENESIS,2.922070650985493e-19,9.383855129575481e-17,1.3879227255583957,180,196,
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,2.9656228786083523e-19,9.383855129575481e-17,1.40274768284797,168,181,
GOBP_ACTIN_FILAMENT_BASED_PROCESS,4.938895104267092e-19,1.484631868342688e-16,1.4971693949221823,106,107,
GOBP_CELL_CELL_SIGNALING,6.200820944583131e-19,1.7752064532777992e-16,1.425207288228108,149,158,
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS,9.256635824936762e-19,2.5295861172509003e-16,1.4064640182312378,161,173,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,1.205001057574951e-18,3.149767981800263e-16,1.473511293634497,117,120,
GOBP_NITROGEN_COMPOUND_TRANSPORT,1.4965265543865977e-18,3.748799018738427e-16,1.2901287123754195,280,328,
GOBP_POSITIVE_REGULATION_OF_SIGNALING,1.5796995844476439e-18,3.798861560679694e-16,1.3426782289951973,215,242,
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY,1.863172152539232e-18,4.3082273004099465e-16,1.4967619649344497,103,104,
GOBP_TUBE_DEVELOPMENT,1.9764417784436932e-18,4.4008770266679565e-16,1.4455852156057496,132,138,
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION,2.8091882367121195e-18,5.899488437688036e-16,1.4105407255304587,154,165,
GOBP_MICROTUBULE_BASED_PROCESS,2.8457279556379417e-18,5.899488437688036e-16,1.4373142258152525,136,143,
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,8.266343075444991e-18,1.6565751523191762e-15,1.4150328934461605,147,157,
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,1.6063613041556526e-17,3.115304567930253e-15,1.3594411640450763,188,209,
GOBP_EPITHELIUM_DEVELOPMENT,2.3369543416853464e-17,4.390552969441344e-15,1.4513216648740261,121,126,
GOBP_REGULATION_OF_CELL_DEATH,3.183114090893865e-17,5.799055125592096e-15,1.3334943833796353,210,238,
